,source,url,title,summary,date,sentiment
10,Financial Times,https://www.ft.com/content/f4fe30ce-3cbf-47f0-a1ad-7574b59f6f04,US urges China to help deter Iran-backed Houthis in back-channel meeting,"Then $29 per 3 months.
Today's FT for easy reading on any device, with a brand new app.
Please note this does not include access to ft.com or the FT main app.",2024-01-27,0.6369
11,Financial Times,https://www.ft.com/content/55ef86b4-f55c-47a9-8121-c6c8cf6b5b18,Hinkley Point C delay deals blow to UK energy strategy,"Then $29 per 3 months.
Today's FT for easy reading on any device, with a brand new app.
Please note this does not include access to ft.com or the FT main app.",2024-01-27,0.6369
12,Financial Times,https://www.ft.com/content/a0756de7-c5e0-4dcf-8fb1-7df30e955032,Why we treasure-hunters seek the debris of past generations,"Then $29 per 3 months.
Today's FT for easy reading on any device, with a brand new app.
Please note this does not include access to ft.com or the FT main app.",2024-01-27,0.6369
13,Financial Times,https://www.ft.com/content/545add93-4808-4952-bfc4-cf9fa36b62ad,Surrealism at 100: does it still have the power to disrupt?,"Try unlimited access Only $1 for 4 weeksThen $75 per month.
Complete digital access to quality FT journalism on any device.
Cancel anytime during your trial.",2024-01-27,-0.25
14,Financial Times,https://www.ft.com/content/6835147e-fb65-4ca6-9e5d-2dcb808a84d3,US agrees to sell Turkey jets after Ankara approves Sweden’s Nato bid,"Try unlimited access Only $1 for 4 weeksThen $75 per month.
Complete digital access to quality FT journalism on any device.
Cancel anytime during your trial.",2024-01-27,-0.25
15,Financial Times,https://www.ft.com/content/6e78a371-1d95-48f6-a7a9-388d9f2af113,Germany’s new far-left party calls for an end to the Ukraine war,"Then $29 per 3 months.
Today's FT for easy reading on any device, with a brand new app.
Please note this does not include access to ft.com or the FT main app.",2024-01-27,0.6369
16,Financial Times,https://www.ft.com/content/c99f4760-ea9b-4a18-8c1f-a335d4457c84,Scandal in Georgia threatens to muddy criminal case against Donald Trump,"Try unlimited access Only $1 for 4 weeksThen $75 per month.
Complete digital access to quality FT journalism on any device.
Cancel anytime during your trial.",2024-01-27,-0.25
17,Financial Times,https://www.ft.com/content/8bdaafc7-67c3-414e-a215-8d6639016410,Why Giorgia Meloni is picking a fight with Stellantis’ John Elkann,"Then $29 per 3 months.
Today's FT for easy reading on any device, with a brand new app.
Please note this does not include access to ft.com or the FT main app.",2024-01-27,0.6369
18,Financial Times,https://www.ft.com/content/908f7b2e-da1b-4bad-94ab-a7bdd774ef98,English women’s football clubs hope new league will kick start investment,"Try unlimited access Only $1 for 4 weeksThen $75 per month.
Complete digital access to quality FT journalism on any device.
Cancel anytime during your trial.",2024-01-27,-0.25
19,Financial Times,https://www.ft.com/content/39af71b4-36dc-4bb9-a181-3710fdfb7ac2,Brussels considers support for solar panel makers as Chinese imports flood market,"Try unlimited access Only $1 for 4 weeksThen $75 per month.
Complete digital access to quality FT journalism on any device.
Cancel anytime during your trial.",2024-01-27,-0.25
20,Financial Times,https://www.ft.com/content/74eca55a-2185-44c8-b367-effbcc00d265,Fuel tanker’s crew extinguish fire after hours of struggle,"Then $29 per 3 months.
The new FT Digital Edition: today’s FT, cover to cover on any device.
This subscription does not include access to ft.com or the FT App.",2024-01-27,0.0
21,Financial Times,https://www.ft.com/content/7ab95c93-3942-449a-8869-539b7a2f8538,French farmers vow to keep up protests despite Attal’s concessions,"Then $29 per 3 months.
Today's FT for easy reading on any device, with a brand new app.
Please note this does not include access to ft.com or the FT main app.",2024-01-27,0.6369
22,Financial Times,https://www.ft.com/content/599ab559-b09d-4435-8e9f-152a799c54b7,French mayors take on Airbnb amid a housing squeeze,"Try unlimited access Only $1 for 4 weeksThen $75 per month.
Complete digital access to quality FT journalism on any device.
Cancel anytime during your trial.",2024-01-27,-0.25
